winner,fighter_red,fighter_blue,age_diff,height_diff,reach_diff,sig_strike_diff,sig_accuracy_diff,td_diff,td_accuracy_diff,submission_diff,wins_diff,losses_diff,win_streak_diff,lose_streak_diff,strike_defense_diff,td_defense_diff,title_fight,rounds
Blue,Israel Adesanya,Joe Pyfer,7,5.079999999999984,12.699999999999989,0.5100000000000002,0.03999999999999998,-1.4,-0.21,-0.8,6,3,-3,3,0.03999999999999998,-0.21,False,5
Red,Alexa Grasso,Maycee Barber,5,0.0,2.539999999999992,-0.4499999999999993,-0.12000000000000005,-1.1600000000000001,-0.10000000000000003,0.6,-3,3,-7,2,-0.12000000000000005,-0.10000000000000003,False,3
Red,Michael Chiesa,Niko Price,2,2.539999999999992,-2.539999999999992,-3.0900000000000003,-0.02999999999999997,2.05,0.16999999999999998,0.4,6,-3,3,-3,-0.02999999999999997,0.16999999999999998,False,3
Blue,Julian Erosa,Lerryan Douglas,6,10.159999999999997,5.0800000000000125,-2.49,-0.16000000000000003,1.73,0.43,0.7,9,8,-1,1,-0.16000000000000003,0.43,False,3
Blue,Mansur Abdul-Malik,Yousri Belgaroui,-5,-10.159999999999997,2.539999999999992,-2.82,-0.2,1.3599999999999999,-0.5900000000000001,0.3,2,-1,2,0,-0.2,-0.5900000000000001,False,3
Red,Terrance McKinney,Kyle Nelson,-3,-2.539999999999992,5.079999999999984,2.93,0.10000000000000003,2.13,0.17,1.6,2,1,-1,1,0.10000000000000003,0.17,False,3
Blue,Ignacio Bahamondes,Tofiq Musayev,-8,15.240000000000009,15.240000000000009,4.15,0.0,-2.3,-0.6,0.6,7,2,0,0,0.0,-0.6,False,3
Blue,Chase Hooper,Lance Gibson Jr.,-5,10.159999999999997,5.0800000000000125,2.1,0.03999999999999998,0.7600000000000002,-0.34,2.1,9,3,0,0,0.03999999999999998,-0.34,False,3
Blue,Marcin Tybura,Tyrell Fortune,5,7.6200000000000045,7.6200000000000045,1.56,-0.020000000000000018,-1.7,-0.26999999999999996,0.1,14,9,0,1,-0.020000000000000018,-0.26999999999999996,False,3
Red,Casey O'Neill,Gabriella Fernandes,-4,0.0,7.6200000000000045,4.38,0.06,0.98,0.16000000000000003,0.49999999999999994,2,0,-2,0,0.06,0.16000000000000003,False,3
Red,Navajo Stirling,Bruno Lopes,-4,5.079999999999984,12.699999999999989,3.37,0.09000000000000002,-0.95,0.07000000000000003,0.0,2,-2,4,-1,0.09000000000000002,0.07000000000000003,False,3
Draw,Ricky Simon,Adrian Yanez,1,-2.5400000000000205,-2.5400000000000205,-2.93,0.010000000000000009,4.49,0.41,0.3,4,3,0,0,0.010000000000000009,0.41,False,3
Red,Alexia Thainara,Bruna Brasil,-2,-5.079999999999984,5.0800000000000125,2.06,-0.13999999999999996,3.31,0.04999999999999993,1.7,-1,-4,3,-1,-0.13999999999999996,0.04999999999999993,False,3
Red,Movsar Evloev,Lerone Murphy,-2,-5.079999999999984,-2.539999999999992,-0.4299999999999997,-0.040000000000000036,3.58,-0.020000000000000018,-0.3,0,0,0,0,-0.040000000000000036,-0.020000000000000018,False,5
Red,Luke Riley,Michael Aswell Jr.,1,2.539999999999992,0.0,-2.2300000000000004,0.14999999999999997,-0.32,-1.0,0.0,0,-2,0,0,0.14999999999999997,-1.0,False,3
Red,Michael Page,Sam Patterson,9,0.0,2.539999999999992,-0.3400000000000003,0.20999999999999996,-0.6299999999999999,-0.33999999999999997,-1.6,-2,0,-2,0,0.20999999999999996,-0.33999999999999997,False,3
Red,Iwo Baraniewski,Austen Lane,-11,-15.240000000000009,-17.78,13.07,0.19999999999999996,-1.5,-0.28,0.0,0,-5,2,-2,0.19999999999999996,-0.28,False,3
Blue,Roman Dolidze,Christian Leroy Duncan,7,0.0,-7.6200000000000045,-1.2399999999999998,-0.15999999999999998,0.8299999999999998,0.27,0.7,3,2,-3,1,-0.15999999999999998,0.27,False,3
Blue,Kurtis Campbell,Danny Silva,-6,5.079999999999984,7.6200000000000045,-2.8499999999999996,-0.06000000000000005,6.699999999999999,0.040000000000000036,-0.2,-2,-1,1,-1,-0.06000000000000005,0.040000000000000036,False,3
Red,Mason Jones,Axel Sola,2,-5.079999999999984,0.0,1.9100000000000001,-0.030000000000000027,1.2599999999999998,0.19000000000000006,0.2,2,2,1,0,-0.030000000000000027,0.19000000000000006,False,3
Red,Nathaniel Wood,Losene Keita,4,-2.5400000000000205,-7.6200000000000045,2.1699999999999995,0.08000000000000002,1.35,0.48,0.5,10,3,3,0,0.08000000000000002,0.48,False,3
Red,Mario Pinto,Felipe Franco,3,10.160000000000025,7.6200000000000045,1.04,0.18999999999999995,-0.6400000000000001,-0.10999999999999999,0.9,3,-1,3,-1,0.18999999999999995,-0.10999999999999999,False,3
Red,Mantas Kondratavicius,Antonio Trocoli,-9,-7.6200000000000045,-12.699999999999989,3.6999999999999997,0.18000000000000005,1.92,0.51,0.5,1,-3,1,-3,0.18000000000000005,0.51,False,3
Blue,Louie Sutherland,Brando Pericic,1,-5.0800000000000125,-7.6200000000000045,-9.16,-0.12,4.69,0.33,0.0,-1,1,-1,1,-0.12,0.33,False,3
Blue,Shem Rock,Abdul-Kareem Al-Selwady,2,7.6200000000000045,10.159999999999997,-1.5800000000000005,-0.019999999999999962,-0.47,-0.1,0.0,-1,0,0,0,-0.019999999999999962,-0.1,False,3
Red,Shanelle Dyer,Ravena Oliveira,-5,2.539999999999992,0.0,5.8,0.16000000000000003,-0.18000000000000005,-0.42,0.0,0,-1,0,-1,0.16000000000000003,-0.42,False,3
Blue,Josh Emmett,Kevin Vallejos,17,-2.5400000000000205,5.0800000000000125,-2.45,-0.13,0.41000000000000003,0.07999999999999996,0.1,6,5,-4,2,-0.13,0.07999999999999996,False,5
Blue,Amanda Lemos,Gillian Robertson,8,-2.539999999999992,5.079999999999984,0.040000000000000036,0.07000000000000006,-1.7399999999999998,0.24,-0.20000000000000007,-4,-1,-4,1,0.07000000000000006,0.24,False,3
Blue,Andre Fili,Jose Delgado,8,0.0,0.0,-3.6000000000000005,-0.17000000000000004,0.8099999999999998,0.06,0.2,10,10,1,-1,-0.17000000000000004,0.06,False,3
Red,Marwan Rahiki,Harry Hardwick,-8,0.0,2.539999999999992,2.2600000000000007,0.10000000000000003,0.0,0.0,0.9,1,-1,1,-1,0.10000000000000003,0.0,False,3
