red_fighter,blue_fighter,snapshot_date,winner,age_diff,height_diff,reach_diff,experience_diff,wins_diff,losses_diff,win_rate_diff,win_streak_diff,lose_streak_diff,momentum_diff,ko_rate_diff,submission_rate_diff,decision_rate_diff,fight_time_diff,sig_strike_diff,takedown_diff,submission_attempt_diff
Israel Adesanya,Joe Pyfer,2026-03-28,Blue,6.0,5.079999999999984,12.699999999999989,11.0,7.0,4.0,-0.135,-3.0,3.0,-6.0,-0.11499999999999999,-0.333,0.44799999999999995,524.3000000000001,0.5100000000000002,-1.4,-0.8
Alexa Grasso,Maycee Barber,2026-03-28,Red,4.0,0.0,2.539999999999992,1.0,-2.0,3.0,-0.21799999999999997,-7.0,2.0,-9.0,-0.4,0.25,0.025000000000000022,187.91000000000008,-0.4499999999999993,-1.1600000000000001,0.6
Michael Chiesa,Niko Price,2026-03-28,Red,1.0,2.539999999999992,-2.539999999999992,3.0,6.0,-3.0,0.22300000000000003,3.0,-3.0,6.0,-0.5,0.32099999999999995,0.179,49.01999999999998,-3.0900000000000003,2.05,0.4
Julian Erosa,Lerryan Douglas,2026-03-28,Blue,5.0,10.159999999999997,5.0800000000000125,17.0,9.0,8.0,0.529,0.0,1.0,-1.0,0.222,0.444,0.333,511.88,6.18,1.73,0.7
Mansur Abdul-Malik,Yousri Belgaroui,2026-03-28,Blue,-5.0,-10.159999999999997,2.539999999999992,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.33299999999999996,0.333,0.0,-311.75,-2.82,1.3599999999999999,0.3
Terrance McKinney,Kyle Nelson,2026-03-28,Red,-3.0,-2.539999999999992,5.079999999999984,2.0,2.0,0.0,0.08299999999999996,-1.0,1.0,-2.0,0.17099999999999993,0.429,-0.6,-449.55999999999995,2.93,2.13,1.6
Ignacio Bahamondes,Tofiq Musayev,2026-03-28,Blue,-8.0,15.240000000000009,15.240000000000009,8.0,6.0,2.0,0.667,0.0,0.0,0.0,0.5,0.333,0.167,337.5,4.15,-2.3,0.6
Chase Hooper,Lance Gibson Jr.,2026-03-28,Blue,-5.0,10.159999999999997,5.0800000000000125,11.0,8.0,3.0,0.667,0.0,0.0,0.0,0.25,0.5,0.25,-361.54999999999995,2.1,0.7600000000000002,2.1
Marcin Tybura,Tyrell Fortune,2026-03-28,Blue,4.0,7.6200000000000045,7.6200000000000045,23.0,14.0,9.0,0.609,0.0,1.0,-1.0,0.357,0.071,0.571,629.75,3.56,1.3,0.1
Casey O'Neill,Gabriella Fernandes,2026-03-28,Red,-5.0,0.0,7.6200000000000045,2.0,2.0,0.0,0.11399999999999999,-2.0,0.0,-2.0,0.4,-0.133,-0.267,-85.96999999999991,4.38,1.03,0.49999999999999994
Navajo Stirling,Bruno Lopes,2026-03-28,Red,-5.0,5.079999999999984,12.699999999999989,1.0,2.0,-1.0,0.5,3.0,-1.0,4.0,0.0,0.0,0.0,395.0,3.37,-0.95,0.0
Alexia Thainara,Bruna Brasil,2026-03-28,Red,-3.0,-5.079999999999984,5.0800000000000125,-4.0,0.0,-4.0,0.667,2.0,-2.0,4.0,0.0,0.5,-0.5,-241.0,2.06,3.31,1.7
Movsar Evloev,Lerone Murphy,2026-03-21,Red,-4.0,-5.079999999999984,-2.539999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.333,0.0,0.22199999999999998,90.88,0.08999999999999986,3.55,-0.3
Luke Riley,Michael Aswell Jr.,2026-03-21,Red,1.0,2.539999999999992,0.0,-1.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-171.0,-2.2300000000000004,-0.32,0.0
Michael Page,Sam Patterson,2026-03-21,Red,9.0,0.0,2.539999999999992,-1.0,-1.0,0.0,-0.050000000000000044,-2.0,0.0,-2.0,-0.5,-0.5,1.0,752.2,-0.3400000000000003,-0.6299999999999999,-1.6
